title,description,event_date,category,event_type,impact_level,location_name,latitude,longitude,country_code,affected_population,source_url,source_name
Assassination of JFK,President John F. Kennedy assassinated in Dallas while in motorcade,1963-11-22T18:30:00Z,political,terrorist_attack,extreme,"Dallas, Texas, USA",32.7767,-96.797,US,1,https://en.wikipedia.org/wiki/Assassination_of_John_F._Kennedy,Wikipedia
Berlin Wall Falls,Fall of Berlin Wall marking symbolic end of Cold War era,1989-11-09T18:53:00Z,political,revolution,high,"Berlin, Germany",52.52,13.405,DE,2800000,https://en.wikipedia.org/wiki/Fall_of_the_Berlin_Wall,Wikipedia
Arab Spring Begins,Start of Arab Spring democratic uprisings across Middle East and North Africa,2010-12-17T00:00:00Z,political,revolution,high,"Tunis, Tunisia",36.8065,10.1815,TN,350000000,https://en.wikipedia.org/wiki/Arab_Spring,Wikipedia
Russia Invades Ukraine,Full-scale Russian military invasion of Ukraine begins,2022-02-24T04:00:00Z,war,invasion,extreme,"Kiev, Ukraine",50.4501,30.5234,UA,44000000,https://en.wikipedia.org/wiki/2022_Russian_invasion_of_Ukraine,Wikipedia
Hurricane Katrina,Category 5 hurricane devastated Gulf Coast and flooded New Orleans,2005-08-29T06:10:00Z,natural_disaster,hurricane,extreme,"New Orleans, USA",29.9511,-90.0715,US,1833,https://en.wikipedia.org/wiki/Hurricane_Katrina,Wikipedia
London 7/7 Bombings,Coordinated terrorist bombings on London public transport system,2005-07-07T08:50:00Z,terrorism,bombing,high,"London, UK",51.5074,-0.1278,GB,52,https://en.wikipedia.org/wiki/7_July_2005_London_bombings,Wikipedia
Brexit Referendum,UK votes to leave the European Union in historic referendum,2016-06-23T22:00:00Z,political,referendum,high,"London, UK",51.5074,-0.1278,GB,65000000,https://en.wikipedia.org/wiki/2016_United_Kingdom_European_Union_membership_referendum,Wikipedia
Trump Election Victory,Donald Trump wins US Presidential Election defeating Hillary Clinton,2016-11-08T23:00:00Z,political,election,high,"Washington DC, USA",38.9072,-77.0369,US,325000000,https://en.wikipedia.org/wiki/2016_United_States_presidential_election,Wikipedia
Death of Queen Elizabeth II,Longest-reigning British monarch dies at age 96 ending 70-year reign,2022-09-08T18:30:00Z,political,celebration,high,"Balmoral, Scotland",57.0391,-3.2319,GB,67000000,https://en.wikipedia.org/wiki/Death_of_Elizabeth_II,Wikipedia
MH370 Disappearance,Malaysia Airlines Flight 370 disappears with 239 people aboard,2014-03-08T00:41:00Z,accident,bombing,high,South China Sea,12,109,MY,239,https://en.wikipedia.org/wiki/Malaysia_Airlines_Flight_370,Wikipedia
Charlie Hebdo Attack,Terrorist attack on French satirical newspaper kills 12 people,2015-01-07T11:30:00Z,terrorism,terrorist_attack,medium,"Paris, France",48.8566,2.3522,FR,12,https://en.wikipedia.org/wiki/Charlie_Hebdo_shooting,Wikipedia
Bhopal Gas Tragedy,Industrial disaster at Union Carbide plant kills thousands in India,1984-12-03T00:30:00Z,accident,bombing,extreme,"Bhopal, India",23.2599,77.4126,IN,15000,https://en.wikipedia.org/wiki/Bhopal_disaster,Wikipedia
Hanoi Red River flood 1971,Major flood causing approximately 100000 deaths,1971-08-01T00:00:00Z,natural_disaster,tsunami,extreme,"Hanoi, Vietnam",21.0278,105.8342,VN,100000,https://en.wikipedia.org/wiki/List_of_natural_disasters_by_death_toll,Wikipedia
Qir earthquake Iran 1972,Severe earthquake killing approximately 5374 people,1972-04-10T00:00:00Z,natural_disaster,earthquake,high,"Qir, Iran",27.9,57.0,IR,5374,https://en.wikipedia.org/wiki/List_of_natural_disasters_by_death_toll,Wikipedia
Managua earthquake 1972,Earthquake killed between 4000 and 11000 people,1972-12-23T00:00:00Z,natural_disaster,earthquake,extreme,"Managua, Nicaragua",12.1364,-86.2514,NI,8000,https://en.wikipedia.org/wiki/List_of_natural_disasters_by_death_toll,Wikipedia
Tangshan earthquake 1976,Magnitude 7.6 earthquake killed approximately 242419 people,1976-07-28T00:00:00Z,natural_disaster,earthquake,extreme,"Tangshan, China",39.63,118.175,CN,242419,https://en.wikipedia.org/wiki/List_of_natural_disasters_by_death_toll,Wikipedia
Andhra Pradesh cyclone 1977,Cyclone killed between 10000 and 50000 people,1977-11-19T00:00:00Z,natural_disaster,hurricane,extreme,"Andhra Pradesh, India",15.9,80.0,IN,30000,https://en.wikipedia.org/wiki/List_of_natural_disasters_by_death_toll,Wikipedia
Tabas earthquake 1978,Earthquake killed between 15000 and 25000 people,1978-09-16T00:00:00Z,natural_disaster,earthquake,extreme,"Tabas, Iran",33.6,56.9,IR,20000,https://en.wikipedia.org/wiki/List_of_natural_disasters_by_death_toll,Wikipedia
Hurricane Fifi-Orlene 1974,Tropical cyclone caused over 8210 deaths,1974-09-18T00:00:00Z,natural_disaster,hurricane,extreme,"Honduras",15.0,-87.0,HN,8210,https://en.wikipedia.org/wiki/List_of_natural_disasters_by_death_toll,Wikipedia
Hurricane Mitch 1998,Devastating cyclone killed approximately 11374 people,1998-10-22T00:00:00Z,natural_disaster,hurricane,extreme,"Central America",15.0,-85.0,Multi,11374,https://en.wikipedia.org/wiki/List_of_natural_disasters_by_death_toll,Wikipedia
Vargas tragedy 1999,Mudslides and floods killed between 10000 and 30000 people,1999-12-14T00:00:00Z,natural_disaster,tsunami,extreme,"Vargas, Venezuela",10.634,-67.071,VE,20000,https://en.wikipedia.org/wiki/List_of_natural_disasters_by_death_toll,Wikipedia
Sichuan earthquake 2008,Magnitude 7.9 earthquake killed approximately 87587 people,2008-05-12T00:00:00Z,natural_disaster,earthquake,extreme,"Sichuan, China",31.0,104.0,CN,87587,https://en.wikipedia.org/wiki/Lists_of_21st-century_earthquakes,Wikipedia
Kashmir earthquake 2005,Magnitude 7.6 earthquake killed approximately 87351 people,2005-10-08T00:00:00Z,natural_disaster,earthquake,extreme,"Kashmir",34.5,73.7,PK,87351,https://en.wikipedia.org/wiki/Lists_of_21st-century_earthquakes,Wikipedia
Turkey-Syria earthquakes 2023,Twin earthquakes killed approximately 62013 people,2023-02-06T00:00:00Z,natural_disaster,earthquake,extreme,"Turkey/Syria",36.5,38.0,TR,62013,https://en.wikipedia.org/wiki/Lists_of_21st-century_earthquakes,Wikipedia
Great Hanshin earthquake 1995,Magnitude 6.9 earthquake killed approximately 6434 people,1995-01-17T00:00:00Z,natural_disaster,earthquake,extreme,"Kobe, Japan",34.69,135.18,JP,6434,https://en.wikipedia.org/wiki/List_of_disasters_by_cost,Wikipedia
Hurricane Sandy 2012,Post-tropical cyclone causing over 100 deaths and $50B damages,2012-10-29T00:00:00Z,natural_disaster,hurricane,high,"New Jersey, USA",40.0,-74.0,US,100,https://en.wikipedia.org/wiki/Political_impact_of_Hurricane_Sandy,Wikipedia
Morbi dam failure 2022,River bridge collapse with 141 deaths,2022-10-30T00:00:00Z,accident,bombing,high,"Morbi, India",22.81,70.85,IN,141,https://en.wikipedia.org/wiki/List_of_accidents_and_disasters_by_death_toll,Wikipedia
Western North America heat wave 2021,Heat wave causing approximately 229 deaths,2021-06-01T00:00:00Z,natural_disaster,wildfire,high,"Western North America",49.0,-119.0,Multi,229,https://en.wikipedia.org/wiki/List_of_natural_disasters_in_the_United_States,Wikipedia
Irish Potato Famine,Potato blight caused mass starvation and emigration,1845-09-13T00:00:00Z,natural_disaster,disease_outbreak,extreme,"Ireland",53.1424,-7.6921,IE,1000000,https://en.wikipedia.org/wiki/Great_Famine_(Ireland),Wikipedia
Titanic Sinking,RMS Titanic sinks on maiden voyage after hitting iceberg,1912-04-15T02:20:00Z,accident,bombing,high,"North Atlantic Ocean",41.7325,-49.9469,Multi,1517,https://en.wikipedia.org/wiki/Sinking_of_the_Titanic,Wikipedia
Mount Vesuvius Eruption,Volcanic eruption destroyed Pompeii and Herculaneum,0079-08-24T13:00:00Z,natural_disaster,earthquake,extreme,"Pompeii, Italy",40.7489,14.4989,IT,16000,https://en.wikipedia.org/wiki/Eruption_of_Mount_Vesuvius_in_79_AD,Wikipedia
Black Death,Bubonic plague pandemic devastated Europe and Asia,1347-10-01T00:00:00Z,pandemic,disease_outbreak,extreme,"Europe",50.0,10.0,Multi,75000000,https://en.wikipedia.org/wiki/Black_Death,Wikipedia
1918 Spanish Flu,H1N1 influenza pandemic infected one-third of world population,1918-02-04T00:00:00Z,pandemic,disease_outbreak,extreme,"Global",0.0,0.0,Multi,50000000,https://en.wikipedia.org/wiki/1918_influenza_pandemic,Wikipedia
Assassination of Archduke Ferdinand,Event that triggered World War I,1914-06-28T10:15:00Z,political,terrorist_attack,extreme,"Sarajevo, Bosnia",43.8563,18.4131,BA,1,https://en.wikipedia.org/wiki/Assassination_of_Archduke_Franz_Ferdinand,Wikipedia
Fall of Constantinople,Ottoman Empire conquers Byzantine Empire's last stronghold,1453-05-29T00:00:00Z,war,battle,extreme,"Constantinople, Turkey",41.0082,28.9784,TR,4000,https://en.wikipedia.org/wiki/Fall_of_Constantinople,Wikipedia
Great Chicago Fire,Devastating fire destroyed much of Chicago,1871-10-08T21:00:00Z,accident,wildfire,high,"Chicago, USA",41.8781,-87.6298,US,300,https://en.wikipedia.org/wiki/Great_Chicago_Fire,Wikipedia
Krakatoa Eruption,Volcanic explosion heard 3000 miles away,1883-08-27T10:02:00Z,natural_disaster,earthquake,extreme,"Krakatoa, Indonesia",-6.102,105.423,ID,36000,https://en.wikipedia.org/wiki/1883_eruption_of_Krakatoa,Wikipedia
San Francisco Earthquake 1906,Magnitude 7.9 earthquake and subsequent fires,1906-04-18T05:12:00Z,natural_disaster,earthquake,extreme,"San Francisco, USA",37.7749,-122.4194,US,3000,https://en.wikipedia.org/wiki/1906_San_Francisco_earthquake,Wikipedia
